id;tema;titolo;corpo;autore;etichetta;creata;visibile
a01;amore;Il caffè della domenica;"Mi hai insegnato che l'amore non è la parte grande. È che la domenica ti alzi prima di me e metti su il caffè, e poi torni a letto ad aspettare che l'odore mi svegli.

Non l'ho mai detto a nessuno perché detto così sembra niente. Ma quando ho paura che finisca penso a quello: alla tazza già pronta, girata con il manico verso di me perché sai che sono mancina.";m.;gratitudine;2026-06-14T09:12:00;TRUE
a02;amore;Non te l'ho mai detto;"Abbiamo condiviso quattro anni di autobus, la stessa fermata, lo stesso freddo. Ti ho fatto ridere ogni singolo giorno e non ti ho mai detto perché ci provavo così tanto.

Ora sei a Berlino e io sono ancora a quella fermata. Non è un rimpianto: è solo una cosa che esiste, e mi sembrava giusto che esistesse anche scritta da qualche parte.";anonimo;non detto;2026-06-21T23:40:00;TRUE
a03;amore;Sei arrivato tardi;"Sei tornato dopo due anni con la faccia di chi non ha mai chiesto scusa. Il problema è che ti ho aperto.

Non per debolezza: volevo vedere se ero ancora quella che ti aspettava. Non lo ero, ed è la cosa più bella che mi sia capitata quest'anno.";l.c.;ritorni;2026-07-02T18:05:00;TRUE
a04;amore;Trecento chilometri;"Trecento chilometri, un treno alle 6:40, il regionale che sa di ferro. Faccio questa cosa ogni due venerdì da un anno e mezzo.

La gente mi chiede se ne vale la pena e io non so mai rispondere, perché la risposta è troppo semplice: sì. Vale la pena anche solo per i venti minuti in cui ti vedo cercarmi in mezzo alla gente e non mi hai ancora trovata.";una che aspetta;distanza;2026-07-08T21:30:00;TRUE
a05;amore;Il tuo nome sul citofono;"Avevo sedici anni e passavo davanti al tuo portone per leggere il tuo cognome sul citofono. Tutto lì. Non ti ho mai suonato.

A volte penso che tutte le storie che ho avuto dopo siano state un modo di suonare quel citofono con vent'anni di ritardo.";anonimo;primo amore;2026-07-11T14:20:00;TRUE
a06;amore;Lettera che non spedirò;"Ti scrivo per dirti che sto bene, e non è vero, ma sto imparando.

Ti scrivo per dirti che ho tenuto la tua maglia e che non la indosso: la tengo nel cassetto come si tiene una prova.

Ti scrivo per dirti che se un giorno mi cerchi ti risponderò, e questa è l'unica frase di cui mi vergogno.";r.;lettere mai spedite;2026-07-19T02:11:00;TRUE
a07;amore;Ti ho visto ridere;"Terzo piano, biblioteca, tavolo vicino alla finestra. Hai riso da sola guardando il telefono e ti sei subito guardata intorno per controllare se qualcuno ti aveva vista.

Io ti avevo vista. Sono tre settimane che studio a quel tavolo sperando che tu rida di nuovo.";23 anni;sguardi;2026-07-26T19:48:00;TRUE
a08;amore;Grazie per il lunedì;"Non siamo mai stati insieme, e va bene. Ma per due anni, ogni lunedì mattina, mi hai mandato un messaggio per dirmi che ce l'avremmo fatta anche quella settimana.

Non credo tu sappia quante volte quel messaggio è arrivato nel momento esatto in cui non ce la facevo.";anonimo;gratitudine;2026-08-01T08:02:00;TRUE
a09;amore;Dopo di te;"La cosa che nessuno ti dice è che dopo non smetti di amare: smetti solo di avere un posto dove metterlo.

Per mesi ho continuato a comprare il pane che piaceva a te. Adesso compro il mio. Sembra poco, ma è tutto.";s.;dopo;2026-08-05T22:14:00;TRUE
a10;amore;La prima volta che mi hai chiamato per nome;"Ero il ragazzo del banco in fondo, quello che nessuno chiamava. Tu sei arrivata a ottobre e il secondo giorno mi hai chiamato per nome, ad alta voce, davanti a tutti.

Non è successo niente di più, in dodici anni. Ma ho imparato lì che essere chiamati per nome è già una forma di amore.";g.;primo amore;2026-08-09T17:33:00;TRUE
