id;idLettera;corpo;autore;creata;visibile
a01r1;a01;Ho letto la cosa del manico girato e ho dovuto chiudere il telefono per un minuto.;anonimo;2026-06-15T22:41:00;TRUE
a03r1;a03;Aprire la porta per scoprire di non essere più in casa. Grazie, mi serviva.;anonimo;2026-07-03T08:15:00;TRUE
a04r1;a04;I venti minuti prima di essere trovati sono i migliori di tutta la settimana. Lo confermo.;pendolare anche io;2026-07-09T07:02:00;TRUE
a04r2;a04;Ho fatto quei treni per tre anni. Poi ci siamo sposati. Non è una promessa, è solo per dire che a volte finisce bene.;anonimo;2026-07-11T19:20:00;TRUE
a09r1;a09;Io sono ancora nella fase del pane sbagliato. Ci arriverò.;anonimo;2026-08-06T13:38:00;TRUE
a11r1;a11;Le madri lo vedono sempre prima. È fastidiosissimo e va bene così.;anonimo;2026-08-15T09:11:00;TRUE
p01r1;p01;Costruire l'uscita mentre siamo ancora dentro. Non avevo mai avuto le parole per dirlo.;anonimo;2026-06-12T00:44:00;TRUE
p01r2;p01;Lo faccio da dieci anni. La prima volta che sono rimasta è stato più difficile di tutte le fughe insieme. Ma sono rimasta.;f.;2026-06-14T18:50:00;TRUE
p04r1;p04;Ammettere che ci ha fatto piacere è la cosa più esposta che esista. Ti capisco.;anonimo;2026-07-05T11:09:00;TRUE
p09r1;p09;Riconoscere non è amare. Me lo ripeto ogni giorno da due anni e qualche volta funziona.;anonimo;2026-08-04T22:30:00;TRUE
p11r1;p11;Certi giorni funziona è già enorme. Nessuno ci dice che il traguardo è quello.;anonimo;2026-08-13T07:55:00;TRUE
p11r2;p11;Anche a me il corpo lo sa prima. Ho imparato a dirgli: non è oggi, non è lui. A volte mi crede.;d.;2026-08-16T20:12:00;TRUE
